log_id,text,region,language,clean_text
LOG_0000,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,English,log 0000
LOG_0001,I have a question about my invoice 2535. My credit card was charged twice.,North,French,log 0001
LOG_0002,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,French,log 0002
LOG_0003,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,log 0003
LOG_0004,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,English,log 0004
LOG_0005,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,English,log 0005
LOG_0006,I HAVE A QUESTION ABOUT MY INVOICE 4733. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,English,log 0006
LOG_0007,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Spanish,log 0007
LOG_0008,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Hindi,log 0008
LOG_0009,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0009
LOG_0010,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) MY EMAIL IS USER10@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0010
LOG_0011,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,French,log 0011
LOG_0012,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,log 0012
LOG_0013,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,Hindi,log 0013
LOG_0014,I HAVE A QUESTION ABOUT MY INVOICE 1771. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,French,log 0014
LOG_0015,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,Spanish,log 0015
LOG_0016,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,Hindi,log 0016
LOG_0017,The application keeps crashing on my mobile device. I tried restarting but it didn't help. My email is user17@example.com and my phone is 555-0199.,East,English,log 0017
LOG_0018,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,English,log 0018
LOG_0019,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0019
LOG_0020,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,log 0020
LOG_0021,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,English,log 0021
LOG_0022,I have a question about my invoice 8787. My credit card was charged twice.,North,Spanish,log 0022
LOG_0023,I am not satisfied with the service. Please refund my last payment immediately.,West,Spanish,log 0023
LOG_0024,I have a question about my invoice 4681. My credit card was charged twice. My email is user24@example.com and my phone is 555-0199.,West,French,log 0024
LOG_0025,I HAVE A QUESTION ABOUT MY INVOICE 1964. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0025
LOG_0026,I have a question about my invoice 4899. My credit card was charged twice.,North,Hindi,log 0026
LOG_0027,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user27@example.com and my phone is 555-0199.,West,Spanish,log 0027
LOG_0028,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,French,log 0028
LOG_0029,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,log 0029
LOG_0030,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Spanish,log 0030
LOG_0031,I am not satisfied with the service. Please refund my last payment immediately.,North,English,log 0031
LOG_0032,I have a question about my invoice 1035. My credit card was charged twice.,West,English,log 0032
LOG_0033,I am not satisfied with the service. Please refund my last payment immediately.,West,Hindi,log 0033
LOG_0034,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,log 0034
LOG_0035,I have a question about my invoice 9320. My credit card was charged twice. My email is user35@example.com and my phone is 555-0199.,West,Spanish,log 0035
LOG_0036,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Spanish,log 0036
LOG_0037,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,French,log 0037
LOG_0038,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,Hindi,log 0038
LOG_0039,I am not satisfied with the service. Please refund my last payment immediately.,North,English,log 0039
LOG_0040,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,log 0040
LOG_0041,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,log 0041
LOG_0042,I am not satisfied with the service. Please refund my last payment immediately.,North,Spanish,log 0042
LOG_0043,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,Hindi,log 0043
LOG_0044,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Hindi,log 0044
LOG_0045,I have a question about my invoice 3442. My credit card was charged twice.,North,English,log 0045
LOG_0046,I have a question about my invoice 6974. My credit card was charged twice.,West,Spanish,log 0046
LOG_0047,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,log 0047
LOG_0048,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0048
LOG_0049,I am not satisfied with the service. Please refund my last payment immediately.,East,French,log 0049
LOG_0050,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,French,log 0050
LOG_0051,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,English,log 0051
LOG_0052,Could you add a dark mode to the dashboard? It's too bright at night.,North,Hindi,log 0052
LOG_0053,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,log 0053
LOG_0054,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,English,log 0054
LOG_0055,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0055
LOG_0056,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Hindi,log 0056
LOG_0057,I am not satisfied with the service. Please refund my last payment immediately.,West,French,log 0057
LOG_0058,I am not satisfied with the service. Please refund my last payment immediately.,East,Spanish,log 0058
LOG_0059,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Spanish,log 0059
LOG_0060,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. MY EMAIL IS USER60@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0060
LOG_0061,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,log 0061
LOG_0062,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,French,log 0062
LOG_0063,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,English,log 0063
LOG_0064,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Spanish,log 0064
LOG_0065,I am not satisfied with the service. Please refund my last payment immediately.,West,French,log 0065
LOG_0066,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. MY EMAIL IS USER66@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0066
LOG_0067,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Spanish,log 0067
LOG_0068,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,log 0068
LOG_0069,I have a question about my invoice 7883. My credit card was charged twice.,West,French,log 0069
LOG_0070,I have a question about my invoice 6763. My credit card was charged twice.,West,French,log 0070
LOG_0071,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,log 0071
LOG_0072,I am not satisfied with the service. Please refund my last payment immediately.,West,Spanish,log 0072
LOG_0073,I have a question about my invoice 8564. My credit card was charged twice.,North,French,log 0073
LOG_0074,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Spanish,log 0074
LOG_0075,I am not satisfied with the service. Please refund my last payment immediately.,West,Hindi,log 0075
LOG_0076,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user76@example.com and my phone is 555-0199.,North,English,log 0076
LOG_0077,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,log 0077
LOG_0078,I am not satisfied with the service. Please refund my last payment immediately.,East,Spanish,log 0078
LOG_0079,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,French,log 0079
LOG_0080,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,English,log 0080
LOG_0081,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,English,log 0081
LOG_0082,I HAVE A QUESTION ABOUT MY INVOICE 9548. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,French,log 0082
LOG_0083,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,French,log 0083
LOG_0084,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,log 0084
LOG_0085,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,log 0085
LOG_0086,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user86@example.com and my phone is 555-0199.,East,Hindi,log 0086
LOG_0087,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,French,log 0087
LOG_0088,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,English,log 0088
LOG_0089,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,Hindi,log 0089
LOG_0090,I have a question about my invoice 8933. My credit card was charged twice.,North,Spanish,log 0090
LOG_0091,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Spanish,log 0091
LOG_0092,I am not satisfied with the service. Please refund my last payment immediately.,East,English,log 0092
LOG_0093,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,French,log 0093
LOG_0094,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,English,log 0094
LOG_0095,I HAVE A QUESTION ABOUT MY INVOICE 5066. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0095
LOG_0096,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Spanish,log 0096
LOG_0097,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,log 0097
LOG_0098,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0098
LOG_0099,I have a question about my invoice 8381. My credit card was charged twice.,North,Spanish,log 0099
LOG_0100,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,Hindi,log 0100
LOG_0101,Could you add a dark mode to the dashboard? It's too bright at night.,East,Spanish,log 0101
LOG_0102,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0102
LOG_0103,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user103@example.com and my phone is 555-0199.,East,French,log 0103
LOG_0104,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,log 0104
LOG_0105,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,log 0105
LOG_0106,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,log 0106
LOG_0107,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Hindi,log 0107
LOG_0108,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,English,log 0108
LOG_0109,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,French,log 0109
LOG_0110,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Spanish,log 0110
LOG_0111,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,English,log 0111
LOG_0112,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Spanish,log 0112
LOG_0113,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Hindi,log 0113
LOG_0114,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0114
LOG_0115,I am not satisfied with the service. Please refund my last payment immediately.,West,Hindi,log 0115
LOG_0116,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,French,log 0116
LOG_0117,I am not satisfied with the service. Please refund my last payment immediately.,West,French,log 0117
LOG_0118,I am not satisfied with the service. Please refund my last payment immediately.,North,Hindi,log 0118
LOG_0119,I have a question about my invoice 6439. My credit card was charged twice.,West,English,log 0119
LOG_0120,I have a question about my invoice 3361. My credit card was charged twice.,North,French,log 0120
LOG_0121,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,French,log 0121
LOG_0122,I am not satisfied with the service. Please refund my last payment immediately.,East,French,log 0122
LOG_0123,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,log 0123
LOG_0124,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0124
LOG_0125,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Hindi,log 0125
LOG_0126,I HAVE A QUESTION ABOUT MY INVOICE 7267. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0126
LOG_0127,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,French,log 0127
LOG_0128,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,French,log 0128
LOG_0129,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,French,log 0129
LOG_0130,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,log 0130
LOG_0131,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,English,log 0131
LOG_0132,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,log 0132
LOG_0133,COULD YOU ADD A DARK MODE TO THE DASHBOARD? IT'S TOO BRIGHT AT NIGHT. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0133
LOG_0134,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,log 0134
LOG_0135,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Hindi,log 0135
LOG_0136,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Spanish,log 0136
LOG_0137,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,French,log 0137
LOG_0138,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,log 0138
LOG_0139,I have a question about my invoice 4830. My credit card was charged twice.,West,Hindi,log 0139
LOG_0140,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,English,log 0140
LOG_0141,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,English,log 0141
LOG_0142,I am not satisfied with the service. Please refund my last payment immediately.,West,Hindi,log 0142
LOG_0143,I am not satisfied with the service. Please refund my last payment immediately.,West,English,log 0143
LOG_0144,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Spanish,log 0144
LOG_0145,Could you add a dark mode to the dashboard? It's too bright at night. My email is user145@example.com and my phone is 555-0199.,North,French,log 0145
LOG_0146,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,English,log 0146
LOG_0147,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0147
LOG_0148,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,log 0148
LOG_0149,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. MY EMAIL IS USER149@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,English,log 0149
LOG_0150,I HAVE A QUESTION ABOUT MY INVOICE 5347. MY CREDIT CARD WAS CHARGED TWICE. MY EMAIL IS USER150@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0150
LOG_0151,I am not satisfied with the service. Please refund my last payment immediately.,West,English,log 0151
LOG_0152,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,French,log 0152
LOG_0153,I am not satisfied with the service. Please refund my last payment immediately.,North,French,log 0153
LOG_0154,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,French,log 0154
LOG_0155,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Spanish,log 0155
LOG_0156,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,French,log 0156
LOG_0157,The application keeps crashing on my mobile device. I tried restarting but it didn't help. My email is user157@example.com and my phone is 555-0199.,North,English,log 0157
LOG_0158,Could you add a dark mode to the dashboard? It's too bright at night.,North,Hindi,log 0158
LOG_0159,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Hindi,log 0159
LOG_0160,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,log 0160
LOG_0161,I have a question about my invoice 5477. My credit card was charged twice.,North,Hindi,log 0161
LOG_0162,I have a question about my invoice 3347. My credit card was charged twice.,East,English,log 0162
LOG_0163,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,English,log 0163
LOG_0164,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user164@example.com and my phone is 555-0199.,East,Hindi,log 0164
LOG_0165,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,English,log 0165
LOG_0166,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Hindi,log 0166
LOG_0167,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Spanish,log 0167
LOG_0168,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0168
LOG_0169,I have a question about my invoice 9725. My credit card was charged twice.,West,Spanish,log 0169
